variable,y,x,label
odah_tb_cumulative,1,-10,Other DAH TB Exp. 
ghe_tb_cumulative,3.5,-10,GHE TB Exp. 
gf_tb_cumulative,6,-10,GF TB Exp. 
gf_mdrtb_cumulative,8.5,-10,GF MDR-TB Exp. 
gf_tbhiv_cumulative,11,-10,GF TB/HIV Exp. 
Firstline_Distributed_act_cumulative,1,-3,First-line drugs dist.
Secondline_Distributed_act_cumulative,3.5,-3,Second-line drugs dist.
Additional_Cases_Detected_via_ACF_out_cumulative,6,-3,Cases detected via ACF
Number_of_Cases_Screened_for_MDR_act_cumulative,8.5,-3,Genexpert testing for MDR
TB_Patients_Tested_for_HIV_act_cumulative,11,-3,TB patients tested for HIV
Cases_Started_on_Treatment_in_Prisons_out,1,3,Cases started Tx. In prisons
Cases_Started_on_Treatment_out_cumulative,2.5,3,Cases Started Tx. 
Cases_Notified_out_cumulative,4,3,Cases Notified
Children_less5_referred_out_cumulative,5.5,3,Children <5 referred for TB screening
MDR_Cases_Started_Treatment_out_cumulative,7,3,MDR Cases Started Tx. 
HIV_TB_Cases_Notified_out_cumulative,8.5,3,HIV/TB Cases Notified
Cases_Notified_in_Prisons_out_cumulative,10,3,Cases Notified in Prisons
Case_Notification_Rate_imp,0,10,Case notification rate
Proportion_of_HIV_TB_Cases_Treated_out,1.5,10,Prop. HIV/TB cases treated
Treatment_Success_Rate_imp,3,10,Tx. success rate
HIV_TB_Treatment_Success_Rate_imp,4.5,10,HIV/TB tx. Success rate
Proportion_of_MDR_Cases_Treated_out,6,10,Prop. MDR-TB Cases Treated
Proportion_of_Cases_in_Prisons_Treated_out,7.5,10,Prop. cases in prisons treated
Proportion_of_Patients_Receiving_DST_out,9,10,Prop. Patients receiving DST
Children_in_Contact_with_TB_Started_IPT_out_cumulative,10.5,10,Children <5 started IPT
