variable,y,x,label
exp_M1_1_cumulative,1,-10,ITN Mass GF ($)
exp_M1_2_cumulative,2.25,-10,ITN Cont. GF ($)
other_dah_M1_1_cumulative,3.5,-10,ITN Other ($)
exp_M2_1_cumulative,4.75,-10,Fac. Tx GF ($)
other_dah_M2_cumulative,6,-10,Case Mgmt Other ($)
exp_M2_3_cumulative,7.25,-10,iCCM GF ($)
other_dah_M2_3_cumulative,8.5,-10,iCCM Other ($)
ghe_cumulative,9.75,-10,GHE ($)
exp_M2_6_cumulative,11,-10,Sev. Tx GF ($)
exp_M3_1_cumulative,12.25,-10,IPTp GF ($)
ITN_received_cumulative,2.5,0,ITNs Rec. (#)
RDT_received_cumulative,5.5,0,RDTs Rec. (#)
ACT_received_cumulative,9,0,ACTs Rec. (#)
ITN_consumed_cumulative,2.5,10,ITNs Dist. (#)
RDT_completed_cumulative,5.5,10,RDTs Used (#)
ACTs_SSC_cumulative,7,10,CHW Tx (#)
totalPatientsTreated_cumulative,8.5,10,Pat.'s Tx (#)
severeMalariaTreated_cumulative,10,10,Sev. Tx (#)
SP_cumulative,11.5,10,ACTs in ANC (#)
